DATE,DSF,OPEN SD,COMMENTS
03-Aug-15,0,0,
04-Aug-15,0,0,
05-Aug-15,0,0,
06-Aug-15,0,0,
07-Aug-15,0,0,
08-Aug-15,0,0,
09-Aug-15,0,0,
10-Aug-15,0,0,
11-Aug-15,0,0,
12-Aug-15,0,0,
13-Aug-15,0,0,
14-Aug-15,0,0,
15-Aug-15,0,0,
16-Aug-15,0,0,
17-Aug-15,0,0,
18-Aug-15,0,0,
19-Aug-15,0,0,
20-Aug-15,0,0,
21-Aug-15,0,0,
22-Aug-15,0,0,
23-Aug-15,0,0,
24-Aug-15,0,0,
25-Aug-15,0,0,
26-Aug-15,0,0,
27-Aug-15,0,0,
28-Aug-15,0,0,
29-Aug-15,0,0,
30-Aug-15,0,0,
31-Aug-15,0,0,
01-Sep-15,0,0,
02-Sep-15,0.5,0.5,* from Mel
03-Sep-15,0,0,
04-Sep-15,0,0,
05-Sep-15,0,0,
06-Sep-15,0,0,
07-Sep-15,0,0,
08-Sep-15,0,0,
09-Sep-15,0,0,
10-Sep-15,0,0,
11-Sep-15,0,0,
12-Sep-15,0,0,
13-Sep-15,0,0,
14-Sep-15,0,0,
15-Sep-15,0,0,
16-Sep-15,0,0,
17-Sep-15,0,0,
18-Sep-15,0,0,
19-Sep-15,0.1,0,
20-Sep-15,0.8,0,
21-Sep-15,0,0,
22-Sep-15,0,0,
23-Sep-15,3.7,4,
24-Sep-15,0.1,4,
25-Sep-15,0,0,
26-Sep-15,0,0,
27-Sep-15,0,0,
28-Sep-15,0,0,
29-Sep-15,0,0,
30-Sep-15,0,0,
01-Oct-15,1,0.5,
02-Oct-15,0,0,
03-Oct-15,0,0,
04-Oct-15,0,0,
05-Oct-15,0,0,
06-Oct-15,0,0,
07-Oct-15,0,0,
08-Oct-15,0,0,
09-Oct-15,0,0,
10-Oct-15,3.6,2,
11-Oct-15,0,0,
12-Oct-15,0,0,
13-Oct-15,0,0,
14-Oct-15,0,0,
15-Oct-15,0,0,
16-Oct-15,0.3,0,
17-Oct-15,0,0,
18-Oct-15,0,0,
19-Oct-15,0,0,
20-Oct-15,0,0,
21-Oct-15,1,0.5,
22-Oct-15,0,0,* Some of these Snow hardness values are estimates as they were not always done when snow was so low here
23-Oct-15,0,0,
24-Oct-15,0,0,
25-Oct-15,0,0,
26-Oct-15,0,0,
27-Oct-15,0,0,
28-Oct-15,0,0,
29-Oct-15,0,0,
